Start Time, Nov. 21, 2018 at 02:36:43 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 85293.55
Real Time (s), 85585.65
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
309, 154.5, 6267
310, 155, 6385
311, 155.5, 6285
312, 156, 6872
313, 156.5, 14585
314, 157, 14106
315, 157.5, 6384
316, 158, 6473
317, 158.5, 7421
318, 159, 7587
319, 159.5, 5892
320, 160, 5365
321, 160.5, 5504
322, 161, 5441
323, 161.5, 5329
324, 162, 5272
325, 162.5, 5228
326, 163, 5214
327, 163.5, 5277
328, 164, 5282
329, 164.5, 5148
330, 165, 5159
331, 165.5, 5043
332, 166, 4967
333, 166.5, 5055
334, 167, 5014
335, 167.5, 5080
336, 168, 5057
337, 168.5, 5046
338, 169, 4874
339, 169.5, 4984
340, 170, 5134
341, 170.5, 4784
342, 171, 4835
343, 171.5, 4817
344, 172, 4825
345, 172.5, 4760
346, 173, 4762
347, 173.5, 4626
348, 174, 4692
349, 174.5, 4707
350, 175, 4757
351, 175.5, 4591
352, 176, 4550
353, 176.5, 4665
354, 177, 4952
355, 177.5, 5395
356, 178, 4839
357, 178.5, 4475
358, 179, 4414
359, 179.5, 4557
360, 180, 4399
361, 180.5, 4373
362, 181, 4336
363, 181.5, 4415
364, 182, 4847
365, 182.5, 4568
366, 183, 4282
367, 183.5, 4266
368, 184, 4238
369, 184.5, 4193
370, 185, 4240
371, 185.5, 4229
372, 186, 4057
373, 186.5, 4209
374, 187, 4146
375, 187.5, 3999
376, 188, 4100
377, 188.5, 3986
378, 189, 4078
379, 189.5, 3927
380, 190, 4023
381, 190.5, 4025
382, 191, 4015
383, 191.5, 3979
384, 192, 3946
385, 192.5, 3913
386, 193, 3980
387, 193.5, 6469
388, 194, 8182
389, 194.5, 4464
390, 195, 3598
391, 195.5, 3794
392, 196, 3753
393, 196.5, 3916
394, 197, 4608
395, 197.5, 3864
396, 198, 3548
397, 198.5, 3673
398, 199, 3459
399, 199.5, 3451
400, 200, 3518
401, 200.5, 3501
402, 201, 3501
403, 201.5, 3382
404, 202, 3536
405, 202.5, 3426
406, 203, 3391
407, 203.5, 3474
408, 204, 3411
409, 204.5, 3468
410, 205, 3488
411, 205.5, 3268
412, 206, 3218
413, 206.5, 3432
414, 207, 3271
415, 207.5, 3300
416, 208, 3275
417, 208.5, 3332
418, 209, 3186
419, 209.5, 3179
420, 210, 3233
421, 210.5, 3219
422, 211, 3191
423, 211.5, 3253
424, 212, 3285
425, 212.5, 3243
426, 213, 3312
427, 213.5, 3304
428, 214, 3487
429, 214.5, 3799
430, 215, 3677
431, 215.5, 3778
432, 216, 3286
433, 216.5, 3196
434, 217, 3124
