Start Time, Nov. 19, 2018 at 04:22:47 PM
Energy calibration,  Offset: 0, Slope: 0.5, Quadratic: 0
Live Time (s), 165281.41
Real Time (s), 165856.62
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
309, 154.5, 12475
310, 155, 12321
311, 155.5, 12286
312, 156, 13697
313, 156.5, 31776
314, 157, 30914
315, 157.5, 12759
316, 158, 12620
317, 158.5, 14665
318, 159, 15204
319, 159.5, 11571
320, 160, 10716
321, 160.5, 10706
322, 161, 10429
323, 161.5, 10384
324, 162, 10387
325, 162.5, 10424
326, 163, 10397
327, 163.5, 10412
328, 164, 10338
329, 164.5, 10354
330, 165, 10155
331, 165.5, 9984
332, 166, 10176
333, 166.5, 9979
334, 167, 9692
335, 167.5, 9669
336, 168, 9709
337, 168.5, 9923
338, 169, 9579
339, 169.5, 9705
340, 170, 10075
341, 170.5, 9492
342, 171, 9243
343, 171.5, 9336
344, 172, 9283
345, 172.5, 9196
346, 173, 9321
347, 173.5, 9075
348, 174, 9076
349, 174.5, 9114
350, 175, 9015
351, 175.5, 9032
352, 176, 8836
353, 176.5, 9072
354, 177, 9893
355, 177.5, 10853
356, 178, 9552
357, 178.5, 8819
358, 179, 8576
359, 179.5, 8613
360, 180, 8568
361, 180.5, 8769
362, 181, 8439
363, 181.5, 8547
364, 182, 9835
365, 182.5, 9210
366, 183, 8377
367, 183.5, 8313
368, 184, 8191
369, 184.5, 8109
370, 185, 8231
371, 185.5, 8073
372, 186, 7959
373, 186.5, 7927
374, 187, 7928
375, 187.5, 7939
376, 188, 7952
377, 188.5, 7844
378, 189, 7862
379, 189.5, 7842
380, 190, 7710
381, 190.5, 7714
382, 191, 7637
383, 191.5, 7536
384, 192, 7490
385, 192.5, 7692
386, 193, 7963
387, 193.5, 13174
388, 194, 16735
389, 194.5, 8761
390, 195, 7127
391, 195.5, 7269
392, 196, 7131
393, 196.5, 7686
394, 197, 9029
395, 197.5, 7938
396, 198, 7014
397, 198.5, 7193
398, 199, 6978
399, 199.5, 7207
400, 200, 6941
401, 200.5, 6889
402, 201, 6805
403, 201.5, 6792
404, 202, 6700
405, 202.5, 6678
406, 203, 6499
407, 203.5, 6708
408, 204, 6542
409, 204.5, 6690
410, 205, 6479
411, 205.5, 6545
412, 206, 6682
413, 206.5, 6565
414, 207, 6407
415, 207.5, 6429
416, 208, 6412
417, 208.5, 6324
418, 209, 6256
419, 209.5, 6388
420, 210, 6319
421, 210.5, 6275
422, 211, 6392
423, 211.5, 6215
424, 212, 6245
425, 212.5, 6264
426, 213, 6383
427, 213.5, 6185
428, 214, 6653
429, 214.5, 7807
430, 215, 7306
431, 215.5, 7535
432, 216, 6279
433, 216.5, 6160
434, 217, 6059
435, 217.5, 5982
436, 218, 6162
437, 218.5, 6127
438, 219, 5806
439, 219.5, 5998
440, 220, 5865
441, 220.5, 5808
442, 221, 5848
443, 221.5, 6972
